improve_chem_id	canSMILES
Drug_0	F
Drug_1	Cl[Pt]Cl.N.N
Drug_10	O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
Drug_100	CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1
Drug_1000	NCCCCC(NC(=O)C(N)CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCC(N)=O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)NCC(=O)O
Drug_1001	CCCCCCC(=O)CCCCCCC=CCC(O)C(O)C([NH3+])(CO)C(=O)[O-]
Drug_1002	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC(CO)N(C)CC/C=C(\C)CCC=C(C)C
Drug_1003	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO)NC(=O)CCCCC
Drug_1004	Cc1cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)sc1CC[C@@H]1CNc2nc(N)nc(O)c2C1
Drug_1005	CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)cc(F)cc1Cl
Drug_1006	C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
Drug_1007	CC(C)[C@](O)(c1ccc2cc(OC(F)F)c(OC(F)F)cc2c1)c1c[nH]nn1
Drug_1008	C[C@@H](NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])cc1)c1ccccc1
Drug_1009	CCOc1ccccc1-n1c(C(C)N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc2c1=O
Drug_101	CCOC(=O)c1c(C(C#N)=CN)c2ccc(Cl)c(Cl)c2n1C
Drug_1010	CCOC(=O)c1c(NC(=O)c2ccc([N+](=O)[O-])s2)sc2c1CC(C)(C)NC2(C)C
Drug_1011	CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
Drug_1012	Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1
Drug_1013	CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1
Drug_1014	N=C(N)c1ccc2[nH]c(-c3cc(CC(=O)N[C@@H](CC(=O)O)C(=O)O)cc(-c4cc(S(N)(=O)=O)ccc4O)c3O)nc2c1
Drug_1015	CCCCC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1
Drug_1016	CC(C)N1C(=O)S/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O
Drug_1017	CC(=O)Nc1ncc(Sc2ccccc2C(=O)O)s1
Drug_1018	CC(C)=CCC/C(C)=C/CC/C(C)=C/CSc1ccccc1C(=O)O
Drug_1019	Cc1[nH]nc(C(F)(F)F)c1Cc1sc2c(c1C(=O)N1C[C@](C)(O)CO1)c(=O)n(C)c(=O)n2C(C)C
Drug_102	Cc1ccc(N(C)S(=O)(=O)c2ccccc2)cc1
Drug_1020	S=C=NCCc1ccccc1
Drug_1021	CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(-c3csc4ccccc34)nc21
Drug_1022	Nc1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1
Drug_1023	Cc1nc2ccc(NC(=O)CCNC(=O)CCCc3ccc(CC(C(=O)O)C(=O)O)cc3)cc2s1
Drug_1024	CCOC(=O)C(Cc1ccc(CCCC(=O)NCCC(=O)Nc2ccc3nc(C)sc3c2)cc1)C(=O)OCC
Drug_1025	CN(C)c1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2
Drug_1026	C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccccc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O
Drug_1027	CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
Drug_1028	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O
Drug_1029	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O
Drug_103	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
Drug_1030	CCC(=C/[C@H](C)C/C=C/C(C)=C/[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C(=O)O)/C=C/[C@@H]1OC(=O)C=C[C@@H]1C
Drug_1031	Oc1c(C(Nc2ccccn2)c2ccccc2)ccc2cccnc12
Drug_1032	Cc1ccc(C(NC(=O)c2ccccc2)c2ccc3cccnc3c2O)cc1
Drug_1033	Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1
Drug_1034	Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1
Drug_1035	CCN1CCN(C(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)CC1
Drug_1036	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
Drug_1037	COC(=O)[C@H](COC(C)(C)C)NC(=O)N[C@H](C)c1ccccc1
Drug_1038	CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C(CC=C(C)C)C(=O)[C@@]1(C(=O)C(C)C)C2=O
Drug_1039	COC(=O)NC(Cc1ccccc1)NC(C)=O
Drug_104	CCOC(=O)/C(=C/c1ccccc1)N(CC)CC
Drug_1040	CC(C)CC(NC(=O)C(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NC(Cc1ccccc1)C(N)=O
