source	improve_sample_id	improve_chem_id	study	auc	ic50	ec50	ec50se	r2fit	einf	hs	aac1	auc1	dss1
CCLE	ACH-000956	Drug_749	fake_exp	0.7153	5.66	5.66	0.6867	0.9533	0.0	0.6669	0.224	0.776	0.1661
CCLE	ACH-000956	Drug_1326	fake_exp	0.9579		7.023	0.7111	0.4332	0.9164	4.0	0.0459	0.9541	0.0
CCLE	ACH-000956	Drug_490	fake_exp	0.413	7.546	7.551	0.0385	0.9948	0.0082	1.338	0.6909	0.3091	0.6605
CCLE	ACH-000956	Drug_558	fake_exp	0.8004	5.198	5.198	11.71	0.9944	0.0	4.0	0.0392	0.9608	0.0291
CCLE	ACH-000956	Drug_895	fake_exp	0.5071	7.093	7.149	0.3175	0.8069	0.0607	1.015	0.547	0.453	0.5037
CCLE	ACH-000956	Drug_195	fake_exp	0.5743	7.004	7.06	0.0128	0.9989	0.1652	3.15	0.4675	0.5325	0.4438
CCLE	ACH-000956	Drug_1279	fake_exp	0.9335		2.957	0.0	-0.0	0.867	0.0	0.0665	0.9335	0.0
CCLE	ACH-000956	Drug_1087	fake_exp	0.6626		8.518	0.2629	0.7569	0.547	0.725	0.3939	0.6061	0.3266
CCLE	ACH-000956	Drug_768	fake_exp	0.8823		5.793	0.002	1.0	0.6063	2.898	0.0784	0.9216	0.0544
CCLE	ACH-000956	Drug_1127	fake_exp	0.3971	8.038	8.107	0.0718	0.9642	0.119	1.733	0.7482	0.2518	0.7203
CCLE	ACH-000956	Drug_685	fake_exp	0.7019		8.129	0.1276	0.855	0.5668	2.175	0.3725	0.6275	0.3054
CCLE	ACH-000956	Drug_413	fake_exp	0.8517	4.899	4.901	499.1	0.971	0.0128	4.0	0.0047	0.9953	0.0003
CCLE	ACH-000956	Drug_564	fake_exp	0.8756		6.044	0.1482	0.8893	0.6348	2.459	0.0988	0.9012	0.0677
CCLE	ACH-000956	Drug_870	fake_exp	0.794	5.236	5.236	1.975	0.9676	0.0	2.603	0.0569	0.9431	0.0415
CCLE	ACH-000956	Drug_1520	fake_exp	0.7862	5.417	5.919	0.1614	0.9883	0.3338	0.9525	0.1692	0.8308	0.1215
CCLE	ACH-000956	Drug_643	fake_exp	0.8219	5.368	5.449	0.1104	0.9997	0.2622	4.0	0.0749	0.9251	0.062
CCLE	ACH-000956	Drug_883	fake_exp	0.945	-0.3865	0.0	296.7	0.0695	0.0761	0.1855	0.0508	0.9492	0.0
