Label,auc,improve_sample_id,improve_chem_id
0.7946,0.7946,ACH-000051,Drug_749
0.794,0.794,ACH-000051,Drug_558
0.4996,0.4996,ACH-000051,Drug_895
0.5054,0.5054,ACH-000051,Drug_195
0.853,0.853,ACH-000051,Drug_1279
0.6358,0.6358,ACH-000051,Drug_1087
0.7833,0.7833,ACH-000051,Drug_768
0.2915,0.2915,ACH-000051,Drug_1127
0.6784,0.6784,ACH-000051,Drug_685
0.734,0.734,ACH-000051,Drug_413
0.9835,0.9835,ACH-000051,Drug_564
0.664,0.664,ACH-000051,Drug_870
0.6797,0.6797,ACH-000051,Drug_1520
0.7725,0.7725,ACH-000051,Drug_643
0.7205,0.7205,ACH-000051,Drug_883
0.4281,0.4281,ACH-000051,Drug_614
0.8367,0.8367,ACH-000051,Drug_802
0.5616,0.5616,ACH-000051,Drug_435
0.7571,0.7571,ACH-000051,Drug_1507
0.7268,0.7268,ACH-000051,Drug_1005
0.8253,0.8253,ACH-000076,Drug_749
0.6623,0.6623,ACH-000076,Drug_1326
0.4313,0.4313,ACH-000076,Drug_490
0.7537,0.7537,ACH-000076,Drug_558
0.5377,0.5377,ACH-000076,Drug_895
0.4959,0.4959,ACH-000076,Drug_195
0.8524,0.8524,ACH-000076,Drug_1279
0.5314,0.5314,ACH-000076,Drug_1087
0.8212,0.8212,ACH-000076,Drug_768
0.2085,0.2085,ACH-000076,Drug_1127
0.3692,0.3692,ACH-000076,Drug_413
0.7459,0.7459,ACH-000076,Drug_564
0.6689,0.6689,ACH-000076,Drug_870
0.6864,0.6864,ACH-000076,Drug_1520
0.7272,0.7272,ACH-000076,Drug_643
0.8346,0.8346,ACH-000076,Drug_883
0.5442,0.5442,ACH-000076,Drug_614
0.7513,0.7513,ACH-000076,Drug_802
0.7774,0.7774,ACH-000076,Drug_435
0.6372,0.6372,ACH-000076,Drug_1005
0.8903,0.8903,ACH-000077,Drug_749
0.7497,0.7497,ACH-000077,Drug_1326
1.0,1.0,ACH-000077,Drug_558
0.5843,0.5843,ACH-000077,Drug_195
0.9169,0.9169,ACH-000077,Drug_1279
0.988,0.988,ACH-000077,Drug_1087
0.2673,0.2673,ACH-000077,Drug_1127
0.912,0.912,ACH-000077,Drug_685
0.9451,0.9451,ACH-000077,Drug_413
0.8278,0.8278,ACH-000077,Drug_870
0.7858,0.7858,ACH-000077,Drug_1520
1.0,1.0,ACH-000077,Drug_883
0.5129,0.5129,ACH-000077,Drug_614
0.95,0.95,ACH-000077,Drug_435
0.8945,0.8945,ACH-000077,Drug_1507
0.9486,0.9486,ACH-000077,Drug_665
0.8106,0.8106,ACH-000077,Drug_1005
0.9891,0.9891,ACH-000077,Drug_1040
0.8373,0.8373,ACH-000140,Drug_749
0.6963,0.6963,ACH-000140,Drug_1326
0.3879,0.3879,ACH-000140,Drug_490
0.976,0.976,ACH-000140,Drug_558
0.5066,0.5066,ACH-000140,Drug_195
0.9025,0.9025,ACH-000140,Drug_1279
0.897,0.897,ACH-000140,Drug_1087
0.8552,0.8552,ACH-000140,Drug_768
0.9207,0.9207,ACH-000140,Drug_685
0.931,0.931,ACH-000140,Drug_413
0.885,0.885,ACH-000140,Drug_564
0.6187,0.6187,ACH-000140,Drug_870
0.7595,0.7595,ACH-000140,Drug_1520
0.7457,0.7457,ACH-000140,Drug_643
0.7994,0.7994,ACH-000140,Drug_883
0.6155,0.6155,ACH-000140,Drug_614
0.8292,0.8292,ACH-000140,Drug_435
0.9404,0.9404,ACH-000140,Drug_1507
0.7412,0.7412,ACH-000140,Drug_665
1.0,1.0,ACH-000140,Drug_1040
0.7983,0.7983,ACH-000205,Drug_749
0.8578,0.8578,ACH-000205,Drug_1326
0.5276,0.5276,ACH-000205,Drug_490
0.8238,0.8238,ACH-000205,Drug_558
0.68,0.68,ACH-000205,Drug_895
0.6833,0.6833,ACH-000205,Drug_195
0.9035,0.9035,ACH-000205,Drug_1279
0.8883,0.8883,ACH-000205,Drug_768
0.5387,0.5387,ACH-000205,Drug_1127
0.7871,0.7871,ACH-000205,Drug_685
0.9009,0.9009,ACH-000205,Drug_413
0.8472,0.8472,ACH-000205,Drug_564
0.7358,0.7358,ACH-000205,Drug_870
0.7428,0.7428,ACH-000205,Drug_1520
0.8229,0.8229,ACH-000205,Drug_643
0.626,0.626,ACH-000205,Drug_614
0.9617,0.9617,ACH-000205,Drug_1507
0.8389,0.8389,ACH-000205,Drug_665
0.8092,0.8092,ACH-000205,Drug_1005
0.8334,0.8334,ACH-000205,Drug_1040
0.8499,0.8499,ACH-000220,Drug_749
0.7872,0.7872,ACH-000220,Drug_1326
0.3654,0.3654,ACH-000220,Drug_490
0.4639,0.4639,ACH-000220,Drug_895
0.8542,0.8542,ACH-000220,Drug_1087
0.7619,0.7619,ACH-000220,Drug_768
0.2495,0.2495,ACH-000220,Drug_1127
0.9796,0.9796,ACH-000220,Drug_413
0.8542,0.8542,ACH-000220,Drug_564
0.6905,0.6905,ACH-000220,Drug_1520
0.7034,0.7034,ACH-000220,Drug_643
0.7674,0.7674,ACH-000220,Drug_883
0.4137,0.4137,ACH-000220,Drug_614
0.9216,0.9216,ACH-000220,Drug_802
0.9688,0.9688,ACH-000220,Drug_1507
0.9581,0.9581,ACH-000220,Drug_665
0.7779,0.7779,ACH-000220,Drug_1005
0.9682,0.9682,ACH-000220,Drug_1040
0.8536,0.8536,ACH-000285,Drug_749
0.886,0.886,ACH-000285,Drug_1326
0.4898,0.4898,ACH-000285,Drug_490
0.99,0.99,ACH-000285,Drug_558
0.5263,0.5263,ACH-000285,Drug_195
0.9539,0.9539,ACH-000285,Drug_1279
0.8661,0.8661,ACH-000285,Drug_1087
0.8218,0.8218,ACH-000285,Drug_768
0.6469,0.6469,ACH-000285,Drug_1127
0.946,0.946,ACH-000285,Drug_413
0.9255,0.9255,ACH-000285,Drug_564
0.963,0.963,ACH-000285,Drug_1520
0.9006,0.9006,ACH-000285,Drug_643
0.7967,0.7967,ACH-000285,Drug_614
0.8446,0.8446,ACH-000285,Drug_802
0.9729,0.9729,ACH-000285,Drug_435
0.9135,0.9135,ACH-000285,Drug_1507
0.9456,0.9456,ACH-000285,Drug_665
1.0,1.0,ACH-000285,Drug_1040
0.7844,0.7844,ACH-000288,Drug_749
0.793,0.793,ACH-000288,Drug_1326
0.5432,0.5432,ACH-000288,Drug_490
0.8136,0.8136,ACH-000288,Drug_558
0.5675,0.5675,ACH-000288,Drug_895
0.5201,0.5201,ACH-000288,Drug_195
0.7813,0.7813,ACH-000288,Drug_1279
0.9537,0.9537,ACH-000288,Drug_1087
0.3954,0.3954,ACH-000288,Drug_1127
0.928,0.928,ACH-000288,Drug_685
0.823,0.823,ACH-000288,Drug_413
0.8238,0.8238,ACH-000288,Drug_564
0.7841,0.7841,ACH-000288,Drug_1520
0.8742,0.8742,ACH-000288,Drug_883
0.4789,0.4789,ACH-000288,Drug_614
0.8434,0.8434,ACH-000288,Drug_802
0.8421,0.8421,ACH-000288,Drug_435
0.8391,0.8391,ACH-000288,Drug_1507
0.845,0.845,ACH-000288,Drug_665
0.8459,0.8459,ACH-000288,Drug_1040
0.8818,0.8818,ACH-000418,Drug_749
0.9343,0.9343,ACH-000418,Drug_1326
0.477,0.477,ACH-000418,Drug_490
0.9625,0.9625,ACH-000418,Drug_558
0.6299,0.6299,ACH-000418,Drug_895
0.6978,0.6978,ACH-000418,Drug_195
0.9819,0.9819,ACH-000418,Drug_1279
0.8386,0.8386,ACH-000418,Drug_1087
0.9435,0.9435,ACH-000418,Drug_768
0.4196,0.4196,ACH-000418,Drug_1127
0.9086,0.9086,ACH-000418,Drug_685
0.8532,0.8532,ACH-000418,Drug_413
0.8516,0.8516,ACH-000418,Drug_564
0.757,0.757,ACH-000418,Drug_1520
0.8583,0.8583,ACH-000418,Drug_643
0.6419,0.6419,ACH-000418,Drug_614
0.9741,0.9741,ACH-000418,Drug_802
0.8965,0.8965,ACH-000418,Drug_435
0.9344,0.9344,ACH-000418,Drug_1507
0.8572,0.8572,ACH-000418,Drug_665
0.8187,0.8187,ACH-000418,Drug_1005
0.8672,0.8672,ACH-000418,Drug_1040
0.8755,0.8755,ACH-000467,Drug_1326
0.4924,0.4924,ACH-000467,Drug_490
0.9806,0.9806,ACH-000467,Drug_558
0.7009,0.7009,ACH-000467,Drug_895
0.9512,0.9512,ACH-000467,Drug_1279
0.4333,0.4333,ACH-000467,Drug_1087
0.9435,0.9435,ACH-000467,Drug_768
0.5195,0.5195,ACH-000467,Drug_1127
0.5611,0.5611,ACH-000467,Drug_685
0.8533,0.8533,ACH-000467,Drug_413
0.9786,0.9786,ACH-000467,Drug_564
0.8748,0.8748,ACH-000467,Drug_870
0.7959,0.7959,ACH-000467,Drug_1520
0.9058,0.9058,ACH-000467,Drug_643
0.9269,0.9269,ACH-000467,Drug_883
0.9239,0.9239,ACH-000467,Drug_802
0.8679,0.8679,ACH-000467,Drug_435
0.9708,0.9708,ACH-000467,Drug_1507
0.8631,0.8631,ACH-000467,Drug_665
0.9553,0.9553,ACH-000467,Drug_1005
0.8343,0.8343,ACH-000523,Drug_749
0.4206,0.4206,ACH-000523,Drug_490
0.9303,0.9303,ACH-000523,Drug_558
0.4676,0.4676,ACH-000523,Drug_895
0.5328,0.5328,ACH-000523,Drug_195
0.895,0.895,ACH-000523,Drug_1279
0.8532,0.8532,ACH-000523,Drug_1087
0.9127,0.9127,ACH-000523,Drug_768
0.5236,0.5236,ACH-000523,Drug_1127
0.8876,0.8876,ACH-000523,Drug_685
1.0,1.0,ACH-000523,Drug_413
0.9671,0.9671,ACH-000523,Drug_564
0.9483,0.9483,ACH-000523,Drug_870
0.8361,0.8361,ACH-000523,Drug_643
0.9101,0.9101,ACH-000523,Drug_883
0.6544,0.6544,ACH-000523,Drug_614
0.9641,0.9641,ACH-000523,Drug_435
0.8361,0.8361,ACH-000523,Drug_1507
0.9326,0.9326,ACH-000523,Drug_1040
0.8529,0.8529,ACH-000553,Drug_749
0.7686,0.7686,ACH-000553,Drug_1326
0.4617,0.4617,ACH-000553,Drug_490
0.7392,0.7392,ACH-000553,Drug_195
0.607,0.607,ACH-000553,Drug_1279
0.8042,0.8042,ACH-000553,Drug_1087
0.5565,0.5565,ACH-000553,Drug_1127
0.8906,0.8906,ACH-000553,Drug_685
0.8576,0.8576,ACH-000553,Drug_564
0.833,0.833,ACH-000553,Drug_643
0.7927,0.7927,ACH-000553,Drug_883
0.5777,0.5777,ACH-000553,Drug_614
0.8302,0.8302,ACH-000553,Drug_435
0.9339,0.9339,ACH-000553,Drug_1040
0.577,0.577,ACH-000564,Drug_749
0.8402,0.8402,ACH-000564,Drug_1326
0.4056,0.4056,ACH-000564,Drug_490
0.8397,0.8397,ACH-000564,Drug_558
0.5265,0.5265,ACH-000564,Drug_895
0.4798,0.4798,ACH-000564,Drug_195
1.0,1.0,ACH-000564,Drug_1279
0.732,0.732,ACH-000564,Drug_1087
0.7946,0.7946,ACH-000564,Drug_768
0.3433,0.3433,ACH-000564,Drug_1127
0.7684,0.7684,ACH-000564,Drug_685
0.8278,0.8278,ACH-000564,Drug_413
0.8213,0.8213,ACH-000564,Drug_870
0.5206,0.5206,ACH-000564,Drug_1520
0.8597,0.8597,ACH-000564,Drug_643
0.9106,0.9106,ACH-000564,Drug_883
0.6407,0.6407,ACH-000564,Drug_614
0.7775,0.7775,ACH-000564,Drug_802
0.8739,0.8739,ACH-000564,Drug_1507
0.8352,0.8352,ACH-000564,Drug_665
0.7475,0.7475,ACH-000564,Drug_1005
0.7825,0.7825,ACH-000564,Drug_1040
0.8306,0.8306,ACH-000685,Drug_1326
0.487,0.487,ACH-000685,Drug_490
0.8223,0.8223,ACH-000685,Drug_558
0.4941,0.4941,ACH-000685,Drug_895
0.5576,0.5576,ACH-000685,Drug_195
0.7916,0.7916,ACH-000685,Drug_1087
0.2706,0.2706,ACH-000685,Drug_1127
0.8006,0.8006,ACH-000685,Drug_685
0.8732,0.8732,ACH-000685,Drug_413
0.8424,0.8424,ACH-000685,Drug_564
0.6797,0.6797,ACH-000685,Drug_870
0.8343,0.8343,ACH-000685,Drug_1520
0.8078,0.8078,ACH-000685,Drug_643
0.7911,0.7911,ACH-000685,Drug_883
0.6634,0.6634,ACH-000685,Drug_614
0.855,0.855,ACH-000685,Drug_802
0.9612,0.9612,ACH-000685,Drug_1507
0.9009,0.9009,ACH-000685,Drug_1005
0.8446,0.8446,ACH-000685,Drug_1040
0.8147,0.8147,ACH-000709,Drug_749
0.7109,0.7109,ACH-000709,Drug_1326
0.5897,0.5897,ACH-000709,Drug_490
0.7766,0.7766,ACH-000709,Drug_895
0.7526,0.7526,ACH-000709,Drug_195
0.8317,0.8317,ACH-000709,Drug_1279
0.8169,0.8169,ACH-000709,Drug_1087
0.989,0.989,ACH-000709,Drug_768
0.9323,0.9323,ACH-000709,Drug_685
0.8401,0.8401,ACH-000709,Drug_413
0.8681,0.8681,ACH-000709,Drug_564
0.808,0.808,ACH-000709,Drug_870
0.8832,0.8832,ACH-000709,Drug_643
0.7716,0.7716,ACH-000709,Drug_614
0.8434,0.8434,ACH-000709,Drug_802
0.8402,0.8402,ACH-000709,Drug_435
0.7968,0.7968,ACH-000728,Drug_749
0.3393,0.3393,ACH-000728,Drug_490
0.4748,0.4748,ACH-000728,Drug_895
0.4999,0.4999,ACH-000728,Drug_195
0.9255,0.9255,ACH-000728,Drug_1279
0.7789,0.7789,ACH-000728,Drug_1087
0.8178,0.8178,ACH-000728,Drug_768
0.3272,0.3272,ACH-000728,Drug_1127
0.8132,0.8132,ACH-000728,Drug_685
0.9294,0.9294,ACH-000728,Drug_564
0.8465,0.8465,ACH-000728,Drug_1520
0.7526,0.7526,ACH-000728,Drug_643
0.5291,0.5291,ACH-000728,Drug_614
0.8314,0.8314,ACH-000728,Drug_802
0.9889,0.9889,ACH-000728,Drug_435
0.7842,0.7842,ACH-000728,Drug_1507
0.7875,0.7875,ACH-000728,Drug_1040
0.7796,0.7796,ACH-000801,Drug_1326
0.4059,0.4059,ACH-000801,Drug_490
0.9813,0.9813,ACH-000801,Drug_558
0.7861,0.7861,ACH-000801,Drug_195
0.9216,0.9216,ACH-000801,Drug_1279
0.5342,0.5342,ACH-000801,Drug_1087
0.4064,0.4064,ACH-000801,Drug_1127
0.9739,0.9739,ACH-000801,Drug_413
0.8566,0.8566,ACH-000801,Drug_870
0.9082,0.9082,ACH-000801,Drug_1520
0.8334,0.8334,ACH-000801,Drug_643
0.9762,0.9762,ACH-000801,Drug_883
0.5531,0.5531,ACH-000801,Drug_614
0.8224,0.8224,ACH-000801,Drug_802
